source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,b_r_abs,g_abs
60748017723776,17.051847,16.659084,16.096107,5189.7085,1763.251056038503,1325.9711,0.9435399999999987,5.405013236887786
61400852774656,19.677881,18.649126,17.609472,3365.0488,641.6850125029891,416.0898,2.062208999999999,9.601416520882852
62057983280000,14.880223,14.422816,13.806529,5066.428,661.3922798887107,658.554,1.0330940000000015,5.2437203935078625
62294205953152,19.503283,18.173204,17.014427,3443.429,539.9115896600094,395.0855,2.2525559999999984,9.126190749647245
62298501446272,16.297924,15.916855,15.3582735,5367.3296,1183.4308411344416,956.6513,0.8920504999999991,5.463040584286199
62607739092480,15.795277,15.436942,14.907367,5389.3794,1322.3583306252858,1222.9435,0.8822099999999997,4.819696222261035
62951336478592,16.044308,15.17002,14.252519,4203.608,271.1552289465817,275.9178,1.5230890000000015,7.502430081151841
62951336478720,14.127634,13.7978325,13.2982435,5711.355,801.7891163247841,782.8781,0.7782905000000006,4.183631716307817
63020055954944,17.96877,17.391169,16.636644,4384.3965,2098.213882741941,842.5164,1.321325999999999,5.761720219034196
63084480155136,20.5815,18.604958,17.247887,3001.3103,205.07941001896182,184.7135,2.919513,11.435547703132002
63672891158656,19.979624,18.574448,17.443504,3470.9028,479.36795566586835,650.3127,2.2643200000000006,9.729003003187081
63810329933568,18.314102,17.334034,16.381603,3694.9907,705.3239404573625,739.429,1.829799,7.904990874325328
63874753930112,17.00933,16.721191,16.275934,5921.469,3516.930252643733,1729.5806,0.724295999999999,3.9736722223793386
64527588976640,18.610128,17.908281,17.12599,4242.177,1056.1347851816527,1132.4735,1.479637999999998,7.781184265425667
64699387672576,19.405493,17.98764,16.780449,3376.5107,323.1213140091961,289.0992,2.323843999999999,9.963311968635397
64768107152640,20.017166,18.269627,17.021194,3171.652,231.79251445852358,214.511,2.809471999999998,11.174529966578458
64939905830656,20.170158,18.960733,17.96665,3382.7148,910.1914274726352,518.5793,2.1965079999999992,9.152669295800859
65146064264832,18.512224,17.897623,17.117695,4277.1226,1819.3141747274585,1893.9512,1.3900289999999986,6.589684483878234
65283503226624,19.281265,18.219496,17.204018,3542.145,601.1306250074019,441.9352,1.9663469999999998,9.13035173020415
65631396062976,18.010536,17.352028,16.593527,4397.0005,1339.0235739743607,1309.0514,1.4105089999999967,6.705686885078647
65734475278336,18.692371,17.737846,16.781155,3607.4688,770.2456155303169,859.2532,1.8587160000000031,8.20899982569392
66451734318592,19.25395,18.225231,17.256,3556.853,1102.8043212812934,672.7441,1.9465499999999993,7.9195387040131155
66692252490624,17.892866,17.423206,16.79794,4866.4414,2117.1981658050295,1268.8325,1.089226000000001,5.783798454617479
67246303740672,13.479984,13.147126,12.639534,5962.7017,415.1073802306092,398.4834,0.7091500000000006,4.815323725965319
67349382956288,16.702034,16.427605,15.984982,5929.4907,2695.554029548237,1638.2557,0.7135520000000007,4.267964793857686
67521181646848,16.70167,16.28415,15.638985,4999.913,1422.0841669057497,758.5208,1.020785,5.442223494328758
67585605702784,18.079174,17.56823,16.905478,4684.064,1477.9885238523502,1279.8102,1.1703959999999995,6.713774690487249
68929930946176,18.28999,17.522287,16.667204,4080.2322,911.7667093489736,729.7446,1.5408859999999978,7.569768344559199
68964290684160,13.075748,12.745422,12.243902,5753.919,584.2554751086769,575.2551,0.7760460000000006,3.808908045527245
68998650425344,16.977898,16.367582,15.618872,4611.672,802.6849989068996,733.6099,1.2396260000000001,6.619756266608803
69067369899904,14.988869,14.616652,14.071411,5460.5273,1401.2522725972328,1184.2982,0.8601579999999999,3.778270350216296
69136089376256,15.164869,14.785282,14.234841,5718.1343,1116.8604351795323,939.4578,0.7926280000000001,4.28968746843424
69200513429504,18.259222,17.306292,16.383883,4342.6606,659.4952401131634,863.8656,1.4886390000000003,7.487333673067592
69239168591232,16.856129,16.143387,15.348792,4511.121,644.6394254785779,675.46,1.3444369999999997,6.786002685057051
69410967253632,17.909712,16.937292,15.960578,4165.216,687.0139223853619,538.5798,1.610833999999999,7.133364309215555
69818988716288,19.599562,18.236332,17.09859,3512.0222,462.8099903608818,419.2446,2.2207719999999975,9.453518374014427
69887708197376,18.084356,17.3428,16.524597,4463.7627,1059.193141882704,1135.792,1.3982589999999997,6.910524199435681
70059506681856,16.244495,15.715656,15.038648,4783.276,916.3543181395875,899.3672,1.1916470000000003,5.878338846400574
70373039955712,17.424345,16.526604,15.603654,4203.7417,473.08803051473456,496.2542,1.5305909999999983,7.610694198957782
70407399692928,16.144499,15.626632,14.96463,4911.1274,990.5280148280706,844.5062,1.108169,5.510598184609064
70476119170048,12.146347,11.763706,11.213092,5506.7793,198.5661352929489,196.2464,0.8685550000000009,5.15288008407393
70579198384512,14.966611,14.61556,14.089221,5870.126,973.5362700913487,1195.0403,0.7613900000000001,4.458499318782918
70609262424320,18.618568,17.514656,16.461912,3730.9736,526.655700563886,492.4969,1.8918559999999982,8.450222053074691
70819716552064,18.614376,17.32587,16.20116,3557.025,428.6528531891084,387.3706,2.1017159999999984,8.654741405934201
71193377977600,18.943062,18.237946,17.459446,4133.076,1069.539342749937,832.132,1.4825160000000013,8.089962176897807
71266393150080,15.52226,15.144015,14.590558,5364.6255,1747.355411006962,1872.7787,0.8964019999999996,3.8663087540194887
71296457193600,18.86546,17.935648,16.960604,3823.7732,994.6738781213435,648.3553,1.7789559999999986,7.717144436212351
71365176672640,13.590313,13.303031,12.857374,6314.327,766.3561882407698,804.4658,0.639339,3.7073776568418992
71571335099904,19.160255,18.153152,17.218607,3586.3325,860.2280087262211,697.793,1.9403480000000006,8.47778410536852
71678709978880,16.103065,15.600371,14.935767,4758.0938,876.3726407768006,839.2868,1.1438980000000005,5.843026945065633
71949292222848,18.834349,17.839756,16.823057,3593.082,730.0089406223136,761.1299,1.879692000000001,8.288415104608966
72670846859648,17.27399,16.748024,16.075329,4576.688,1506.3526177328538,947.2108,1.1949610000000013,5.851590767468895
72705206596480,19.56318,18.655426,17.723824,3654.6372,992.6631811708173,628.2789,1.8375559999999986,8.668116431102504
72915660589952,10.395909,9.842077,9.137829,4631.998,684.4905046616364,577.9242,1.2106799999999995,0.5752398603793765
73358041642752,16.98673,16.014671,15.033065,3619.51,272.626251326621,263.356,1.8489650000000009,8.64533264020699
73392401372800,11.764436,11.481284,11.033488,6105.176,330.90840449365345,327.1194,0.6830479999999997,3.7937450119060188
73602855354240,16.86392,16.514881,15.989978,5423.059,1716.7236242297236,1420.8378,0.8701419999999995,5.334279081950658
73946452707968,18.147947,16.852789,15.71925,3490.9104,199.7638907784471,196.5079,2.201496999999998,9.980104059351968
74010876531072,20.002913,18.58269,17.428932,3467.0522,538.29894504375,419.0111,2.372781,9.601372356560859
74015172185728,16.896448,16.33394,15.615615,4635.511,1013.7968520529507,836.2132,1.2288329999999994,6.2055853082053964
74079596145920,19.433594,18.24902,17.2383,3567.5403,634.0251516255274,463.6033,2.0033940000000006,8.906887567093591
74255690383360,17.750847,16.575064,15.507983,3695.1936,303.5909765688998,299.1306,1.9511640000000008,8.662119704142544
74388833802752,19.239391,18.070293,17.028198,3810.5022,565.8830169510843,1088.8827,1.9010930000000015,8.768159698684432
74393129335808,16.676508,16.330847,15.812915,5528.4307,2479.9548897299346,1274.919,0.855792999999998,4.344228094497037
74393129336064,16.652613,15.8984,15.058926,4490.1343,533.0492409856513,522.1602,1.3845869999999991,6.867163353548319
74496208552064,16.797972,16.40062,15.848245,5229.054,1669.217521792245,1455.6552,0.9462270000000012,5.28145532571542
74835510246272,18.375498,17.705378,16.945057,4363.092,1272.878455329627,1197.8522,1.4246410000000018,7.170443321479532
